Vacancy,Employer,Description,Requirements,Link
Инженер технической поддержки (ночной график),ООО ТетраСофт-Сервис,"Решение инцидентов по нашим программным продуктам. Администрирование нашего ПО и оборудования на ОС Linux. Анализ логов, первичное тестирование ПО и...","Аналитический склад ума. Опыт работы в технической поддержке. Знание основ программирования (предпочтительно Java, Python). Опыт работы с unix-системами.",https://spb.hh.ru/vacancy/69891759?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20django%20%7C%20python
Инженер технической поддержки,ООО ТетраСофт-Сервис,Организация митингов команды. Координация взаимодействия внутри команды. Координация взаимодействия с Product Owner. Планирование и отслеживание выполнения задач разработчиками. ,"Аналитический склад ума. Опыт работы в технической поддержке. Знание основ программирования (предпочтительно Java, Python). Опыт работы с unix-системами.",https://spb.hh.ru/vacancy/69891727?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20django%20%7C%20python
Менеджер IT-проектов,ООО Единая Информационная Система ЖКХ,Участвовать в разработке и актуализации данных службы по управлению конфигураций. Составлять функциональные и технические требования для разработчиков CMDB. ,"Высшее образование. Умение четко и доступно выражать свои мысли. Опыт управления проектами разработки от создания (идея, бриф) до запуска. ",https://spb.hh.ru/vacancy/70454219?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20django%20%7C%20python
Архитектор ИТ-инфраструктуры (CMDB),ПАО «Газпром нефть»,Направление исследований: Недавно аксионные топологические изоляторы были реализованы в физике конденсированного состояния. Однако синтез таких структур и их экспериментальное исследование...,"Понимаешь принципы ООП, DevOps, системного администрирования. Понимаешь методологию ITIL, CMDB, знаешь модель OSI. Умеешь работать по методологии SCRUM (Jira / Confluence). ",https://spb.hh.ru/vacancy/68500962?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20django%20%7C%20python
Младший научный сотрудник в области аксионной электродинамики,Университет ИТМО,Погружаться и анализировать пользовательский опыт для решения конкретных бизнес-задач. Scala / Python. NLP библиотеки: NLTK / DeepPavlov / Fasttext. Поиск векторов: LSH...,Владение такими программными пакетами как Mathematica /Matlab/Python и Latex. Хорошая подготовка в области классической электродинамики и квантовой механики. ,https://spb.hh.ru/vacancy/70701201?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20django%20%7C%20python
Разработчик NLU,ПАО «Газпром нефть»,"Поддержка клиентов по техническим вопросам хостинга через тикет-систему, LiveChat и телефон. Решение технических проблем.","Знаешь классические и современные (deep learning) модели, подходы, принципы машинного обучения в области NLP. Имеешь успешный опыт решения практических NLP...",https://spb.hh.ru/vacancy/49099798?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20django%20%7C%20python
Дежурный инженер технической поддержки,RU-CENTER Group,Выстраивать стратегическое планирование радиосети. Организация работ по разработке моделей. Наполнение ИС актуальными данными о конфигурации сети для использования в моделях. ,"Знаете принципы работы сети Internet. Умеете работать с почтовыми клиентами, клиентами FTP и SSH, и знаете, как их настраивать. ",https://spb.hh.ru/vacancy/70595704?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20django%20%7C%20python
Руководитель направления по инструментам и методологии моделей радиосети,"ПАО МегаФон, Инженерные","Отвечать на сообщения пользователей по почте и в чатах. Консультировать по вопросам, связанным с Поиском. Передавать информацию разработчикам и менеджерам...",Владение любыми языками программирования (предпочтительно SQL или Python). Аналитические способности. Знание линейной алгебры и теории вероятности. Знание принципов и законов...,https://spb.hh.ru/vacancy/70589343?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20django%20%7C%20python
Специалист службы поддержки с техническими знаниями в Яндекс Поиск,Яндекс,"Протоколы стека SS7/ОКС7 (MTP, ISUP), DSS1. Bash или Python для написания скриптов. Схемотехника. VoIP оборудование, оборудование...","Не устаёте от однообразных задач. Можете читать языки JavaScript, HTML и Python. Имеете высшее или неоконченное высшее образование (особенно техническое).",https://spb.hh.ru/vacancy/68657320?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20django%20%7C%20python
Инженер внедрения и сопровождения (Видеоконференцсвязь),"Протей, НТЦ","Обеспечивать бесперебойную работу транспорта, поддерживать существующую топологию. Работать вместе с командами разработчиков и администраторов над улучшением производительности и стабильности проекта. ","Хорошие знания сетевых технологий (стек TCP/IP, маршрутизация и коммутация). Понимание принципов работы IP-телефонии и протокола SIP. ",https://spb.hh.ru/vacancy/70481842?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20django%20%7C%20python
